Country,ISO,corruptionIndex,scoreEconomy,scorepress,environment,presscat,environmentCat
Guatemala,GTM,28,7.69,38.03,69.64,2,0
Myanmar,MMR,28,5.26,45.480000000000004,48.98,1,0
Lebanon,LBN,28,6.91,31.95,69.14,2,0
Nigeria,NGA,28,6.38,35.900000000000006,58.27,2,0
Guinea,GIN,27,5.75,33.08,55.4,2,0
Mauritania,MRT,27,5.56,24.029999999999998,46.31,2,0
Mozambique,MOZ,27,5.62,30.249999999999996,41.82,2,0
Nicaragua,NIC,26,7.28,28.820000000000004,64.19,2,0
Bangladesh,BGD,26,6.32,45.94,41.77,1,0
Cameroon,CMR,26,5.92,40.53,57.13,2,0
Kenya,KEN,26,7.11,31.159999999999993,62.49,2,0
Madagascar,MDG,26,6.44,27.040000000000003,37.1,2,0
Tajikistan,TJK,25,6.8,50.34,73.05,1,1
Uganda,UGA,25,7.25,32.58,57.56,2,0
Zimbabwe,ZWE,22,5.61,40.41,59.25,2,0
Cambodia,KHM,21,7.21,40.7,51.24,2,0
Haiti,HTI,20,6.53,24.659999999999993,43.28,2,0
Burundi,BDI,20,6.08,54.10000000000001,43.37,1,0
Chad,TCD,20,5.26,40.59,37.83,2,0
Angola,AGO,18,5.4,39.89,51.32,2,0
Venezuela,VEN,17,2.92,44.77000000000001,76.23,1,1
Guinea-Bissau,GNB,16,5.65,29.029999999999998,48.2,2,0
Libya,LBY,14,4.95,57.89,63.29,1,0
